Data Source,Report Number,Local Date,City,State,Airport Name,Event Type,Mid Air Collision,Aircraft Damage,Registration Nbr,Total Aboard,Fatalities,Injuries,Details;
"ACCIDENT AND INCIDENT DATABASE,20200525021299I,25-MAY-20,MOJAVE,CA,MOJAVE,INCIDENT,NOT A MIDAIR,MINOR,NONE ,1,0,2,""ON MAY 25, 2020, MOJAVE AIR AND SPACE PORT (KMHV) AIR TRAFFIC CONTROL TOWER (ATCT) PROVIDED VERBAL AUTHORIZATION TO ^PRIVACY DATA OMITTED^ TO PERFORM SUAS OPERATIONS IN KMHV CLASS D AIRSPACE. WIND SPEED WAS 7 KNOTS WITH GUSTS AT 14 KNOTS. WIND DIRECTION 060. ^PRIVACY DATA OMITTED^. AND KMHV HAVE A LETTER OF AGREEMENT (LOA) EFFECTIVE JANUARY 28, 2020 FOR SUAS OPERATIONS IN KMHV CLASS D AIRSPACE. ^PRIVACY DATA OMITTED^ HOLDS A CURRENT CERTIFICATE OF WAIVER OR AUTHORIZATION EFFECTIVE FROM JANUARY 31, 2019 TO SEPTEMBER 30, 2020 TO PERFORM SMALL UNMANNED AIRCRAFT SYTEM (SUAS) OPERATIONS IN CLASS D AIRSPACE AT KMHV. ^PRIVACY DATA OMITTED^ HOLDS A CURRENT REMOTE PILOT CERTIFICATE WITH A SUAS RATING ^PRIVACY DATA OMITTED^. REMOTE PILOT IN COMMAND (RPIC), ^PRIVACY DATA OMITTED^ WAS OPERATING UNDER PART 107 AT KMHV COVERING SURVEILLANCE OF THE VIRGIN ORBIT LAUNCHER ONE MISSION. RPIC WAS OPERATING A DJI INSPIRE 2 WITH A CAMERA/GIMBLE COMBINATION SET UP. DJI INSPIRE 2 (SN 09YDDCQL040384) CURRENT FAA SUAS REGISTRATION NUMBER FA343FTPWM. REGISTERED TO ^PRIVACY DATA OMITTED^. RPIC WAS OPERATING WITH ONE INEXPERIENCED VISUAL OBSERVER (VO). RPIC WAS NOT ACCUSTOMED TO OPERATING THE SMALL UNMANNED AIRCRAFT CONTROLS, MANIPULATING THE CAMERA/GIMBLE COMBINATION SET UP, AND COMMUNICATING TO ATCT VIA RADIO SIMULTANEOUSLY. RPIC WAS ALSO WORKING WITH AN INEXPERIENCED VO. RPIC BECAME TASK SATURATED AND LOST SIGHT OF THE SMALL UNMANNED AIRCRAFT. AT 1208 LOCAL TIME, THE SMALL UNMANNED AIRCRAFT STRUCK THE WEST SIDE OF KMHV ATCT. ^PRIVACY DATA OMITTED^ SUSTAINED A SUPERFICIAL HORIZONTAL LACERATION TO HIS RIGHT LOWER, INSIDE FOREARM. HE WAS TREATED ON-SCENE WITH BANDAGE AND GAUZE WRAP.""";
"ACCIDENT AND INCIDENT DATABASE,20200618021121I,18-JUN-20,LITTLETON,CO,INCIDENT,DESTROYED,NONE ,0,0,0,""? DESCRIPTION OF THE INCIDENT";" ON 06/18/2020 AT APPX 1930Z UAS REGISTRY NUMBER FA347KEKFK WAS BEING FLOWN AUTONOMOUSLY AT THE ^PRIVACY DATA OMITTED^ IN LITTLETON, CO. THE UAS WAS BEING OPERATED WITH TWO OTHER DRONES AUTONOMOUSLY. ALL 3 UAS HAD A PART 107 PIC WITH CONTROLLER IN HAND TO OVERRIDE AUTONOMOUS FLIGHT AS NEEDED. ANOTHER PART 107 VISUAL OBSERVER (VO) WAS ASSIGNED TO THE OPERATION. LMCO HAD A VALID 107.35 WAIVER TO UTILIZE ONE VO FOR MONITORING ALL 3 UAS. TWO UAS HAD A MID-AIR COLLISION AND CRASH LANDED ON AN EMPLOYEE VEHICLE. THE INCIDENT TOOK PLACE ON LOCKHEED MARTIN (LMCO) PROPERTY AND WERE LMCO OWNED UAS. UAS WERE FLOWN IN VMC WEATHER. ? PTRS RECORD NUMBER(S) ASSOCIATED WITH THE EVENT 1703: 202006803 1750: 202008388 UAS REGISTRATION NUMBERS: FA347KEKFK FA347KANCR FA347K7T93 UAS MAKE: DJI UAS MODEL: MARTICE 600 PRO UAS SERIAL NUMBERS: FE030944015285 FD251401072743 FE021642076463 REMOTE PILOT CERTIFICATE NUMBERS: ^PRIVACY DATA OMITTED^ FREQ BEING USED BY OPERATOR: UNKNOWN ADDITIONAL INFORMATION: TYPE OF OPERATION: PART 107"""
"ACCIDENT AND INCIDENT DATABASE,20200712021399I,12-JUL-20,INCIDENT,NOT A MIDAIR,DESTROYED,NONE ,0,0,0,""ON 7/12/2020 AT APPROX. 2147 HRS. ^PRIVACY DATA OMITTED^ EMERGENCY SERVICES WERE CONDUCTING A LIFE SAFETY MISSION TO PROVIDE AERIAL VISUAL AND THERMAL SUPPORT TO EMERGENCY RESPONDERS FOR 2 INDIVIDUALS THAT HAD CAPSIZED ON THE CAPE FEAR RIVER AND WERE STUCK IN THE RAPIDS HOLDING ON. THE SUBJECTS WERE IN A CANOE WITH NO LIFE JACKETS NOR PERSONAL FLOTATION DEVICES AND WERE SUBMERGED WITH THEIR LOWER BODY IN THE WATER HOLDING ONTO A TREE. WATERCRAFT ACCESS WAS DIFFICULT DUE TO CURRENT RIVER HEIGHT AND ROCKY CONDITIONS IN THE RAPIDS. UNKNOWN EXACT LOCATION OF THE SUBJECTS DUE TO THE PANICKING OF VICTIMS WHO WERE PUBLIC SERVICE WITH THE 911 COMMUNICATIONS CENTER. THE DJI MAVIC 2 ENTERPRISE DUAL PERFORMED A LOSS OF CONNECTIVITY AND RESULTED IN A FLYAWAY WITH US NOT BEING ABLE TO IDENTIFY FINAL OUTCOME. NO INJURIES, PROPERTY DAMAGES OR AIRCRAFT COLLISIONS WERE REPORTED. FAYETTEVILLE ATC WAS CONTACTED AND BRIEFED ON THE SITUATION";" FAYETTEVILLE ATC ADVISED THE AIRSPACE WAS CLEAR UNTIL THE MORNING"""
"ACCIDENT AND INCIDENT DATABASE,20200715021179I,15-JUL-20,NORTH PORT,FL,INCIDENT,NOT A MIDAIR,DESTROYED,NONE ,1,0,0,""ON JULY 15, 2020 AT 1050 EDT, A DJI, MAVIC 2 ZOOM L1Z UAS, SERIAL # 0M6TG85R0A04ZP, UA FA REGISTRATION # FA3RE7RNWP, REGISTERED TO ^PRIVACY DATA OMITTED^ (PIC), REMOTE PILOT CERTIFICATE ^PRIVACY DATA OMITTED^, LOST CONTROLLED FLIGHT IN THE AREA OF ^PRIVACY DATA OMITTED^ AND HIT A BLACK NISSAN PICKUP TRUCK BEARING ^PRIVACY DATA OMITTED^ TRAVELING ALONG TAMIAMI TRAIL IN NORTH PORT CAUSING PROPERTY DAMAGE. THE UAS WAS FLOWN ON A RECREATIONAL FLIGHT OVER A CONSTRUCTION SITE AT ^PRIVACY DATA OMITTED^, USING AN AUTOMATIC FREQUENCY SELECTION FEATURE THAT RANGED FROM 2.400 - 2.4835 GHZ";" 5.725 - 5.850 GHZ. WEATHER CONDITIONS WERE CLEAR AND ARE NOT CONSIDERED A FACTOR. THE UAS WAS DESTROYED AND THE PROPERTY DAMAGE WAS GREATER THAN $500. THERE WERE NO PERSONAL INJURIES. THE FLIGHT ORIGINATED FROM ^PRIVACY DATA OMITTED^, EARLIER THAT DAY. WHILE THIS INCIDENT MEETS FAA UAS ACCIDENT CRITERIA, IT DOES NOT MEET THE NTSB?S UAS ACCIDENT CRITERIA. THE NTSB WOULD NOT ISSUE A NTSB ACCIDENT NUMBER FOR THIS EVENT. THEREFORE, THIS EVENT WILL BE CLASSIFIED AN INCIDENT."""
"ACCIDENT AND INCIDENT DATABASE,20200917021049I,17-SEP-20,AUBURN,MA,INCIDENT,NOT A MIDAIR,DESTROYED,GENERAL OPERATING RULES,NONE ,1,0,0,""UAS REGISTRATION: FA3YCLL49M MAKE: DJI MODEL: MAVIC 2 ENTERPRISE DUAL SERIAL NUMBER: 298DG3E001292Y RPIC STATEMENT BY OFFICER ^PRIVACY DATA OMITTED^ AS FOLLOWS: """"UPON MY ARRIVAL, I JOINED AN ACTIVE SCENE WITH LAW ENFORCEMENT, FIRE DEPARTMENT, DIVE TEAM MEMBERS, AND CIVILIAN BOATERS SEARCHING FOR THE VICTIM IN THE WATER. AFTER MY BRIEFING FROM THE FIRE DEPARTMENT, I DETERMINED THAT THE COMMAND POST WAS A SAFE AREA TO DEPLOY THE UAV. PRIOR TO STARTING MY PREFLIGHT VISUAL CHECKLIST OF THE UAV, I DETERMINED THROUGH AN FAA APPROVED ONLINE SOFTWARE PROGRAM ^PRIVACY DATA OMITTED^ THAT I WAS IN CLASS G AIRSPACE WITH NO CURRENT AIRSPACE OR WEATHER RESTRICTIONS. THE CURRENT WEATHER CONDITIONS ON LAND WERE LOW TO NO WIND, CLEAR, WITH LOW LIGHTING AS IT WAS DUSK. I DID OBSERVE NEWS HELICOPTERS IN THE DISTANCE AT A MUCH HIGHER ALTITUDE. MY LOCATION WAS LAT 42.19241 AND LONG -71.8581. I CONDUCTED A PREFLIGHT VISUAL CHECKLIST AND MOUNTED THE DJI SPOTLIGHT ATTACHMENT. INSIDE THE UAV WAS A 128GB SD CARD USED TO DOCUMENT PHOTOGRAPHS AND VIDEO. A 2 MONTH OLD DJI BATTERY WAS ALSO USED FOR THE FLIGHT. WITH SPOTTERS FROM BOTH THE POLICE DEPARTMENT AND FIRE DEPARTMENT, THE UAV WAS FLOWN A DISTANCE OF 117FT FROM THE LAUNCH AREA OVER THE WATER, JUST BEYOND THE SHORELINE. THE UAV WAS POSITIONED 71FT ABOVE GROUND LEVEL (AGL) AND MAINTAINED THAT LOCATION AS I WALKED A SHORT DISTANCE TO THE SHORELINE. THE UAV WAS THEN LOWERED TO 33FT AGL TO BEGIN SEARCHING FOR THE VICTIM. AS THE UAV BEGAN TO ASCEND TO 37FT AGL THE CONNECTION WAS IMMEDIATELY LOST AND THE UAV BEGAN TO SLOWLY DESCEND AND EVENTUALLY LANDED IN THE WATER. THE UAV WAS SAFELY POSITIONED AWAY FROM ANY BYSTANDERS AND EXCEPT FOR THE UAV, NO OTHER PROPERTY DAMAGE OCCURRED. A FEW MINUTES LATER, A GROUP OF FIRST RESPONDERS ON A NEARBY BOAT ATTEMPTED TO LOCATE THE UAV BUT THEY WERE UNSUCCESSFUL. DURING THE ENTIRE TIME IN THE AIR, THE UAV REMAINED IN OUR LINE OF SIGHT AND NO OTHER AIRCRAFT (OTHER DRONES, HELICOPTERS, PLANES) WERE IN THE IMMEDIATE AREA OF THE UAV.""""""";
"ACCIDENT AND INCIDENT DATABASE,20200929021099I,29-SEP-20,MANITOWOC,WI,INCIDENT,NOT A MIDAIR,NONE,NONE ,0,0,0,""REGISTRATION: FA3NFRPWXW MAKE: DJI MODEL: PHANTOM 4 PRO FREQUENCY: 2.4GHZ SERIAL NUMBER: OAXCF1WOB30265 RPIC CERT NUMBER: ^PRIVACY DATA OMITTED^ ON SEPTEMBER 29, 2020 THE UAS DESCRIBED ABOVE WAS OPERATED BY THE CERTIFICATED PILOT LISTED WAS BEING USED TO CAPTURE VIDEO OF A BUILDING IN MANITOWOC WI. DURING FLIGHT THE UAS WAS UPSET BY A SUDDEN GUST OF WIND AND HIT A PARKED CAR CAUSING MINOR DAMAGE. THERE WERE NO INJURIES AS A RESULT OF THE INCIDENT.""";
"ACCIDENT AND INCIDENT DATABASE,20201106021599I,06-NOV-20,SNELLVILLE,GA,INCIDENT,NOT A MIDAIR,DESTROYED,32,GENERAL OPERATING RULES,8812G,2,0,0,10,10,2,""REMOTE PILOT IN COMMAND (PIC) LISTED IN PILOT INFORMATION AND VISUAL OBSERVER (VO) LISTED IN SECOND PILOT INFORMATION. PIC AND VO DOES NOT HOLD A REMOTE PILOT CERTIFICATE OR ANY AIRMAN CERTIFICATE. PIC AND VO OPERATING UNDER THEIR PART 91 PUBLIC AGENCY SUAS COA AT THE TIME OF THE INCIDENT. REPORT FROM PUBLIC AGENCY STATED THE PIC WAS ATTEMPTING TO CONDUCT SURVEILLANCE ON A DRUG TARGET USING A DJI MATRICE 210 UAV. HE WAS HOVERING NEXT TO A GWINNETT COUNTY POLICE RADIO TOWER. THE PIC GAVE THE DRONE LEFT YAW INPUT AND WHILE DOING SO LOST ORIENTATION OF THE DRONE. THE PIC MEANT TO MOVE AWAY FROM THE TOWER HOWEVER THE LEFT YAW MOVEMENT CAUSED THE UAV TO STRIKE THE TOWER. ONE OF THE UAV BATTERIES CAUGHT FIRE. THE UAV WAS COMPLETELY DESTROYED. POLICE RADIO TOWER HAS BEEN INSPECTED AND WAS DETERMINED TO NOT HAVE ANY DAMAGE. ON FIRST FLIGHT OF THE DAY, PIC AND VO LAUNCHED UAV .46 MILES FROM AREA OF INTEREST, DURING FLIGHT UAV LOST LINK WITH CONTROLLER. SCREEN WENT GRAY AND LOST LINK MESSAGE APPREARED. DRONE STAYED STATIONARY AND DID NOT RESPOND TO INPUTS. LOST LINK LASTED 30 SECONDS. LINK WAS RE-ESTABLISH AND PIC BROUGHT UAV BACK TO HOME POINT AND LANDED WITHOUT INCIDENT. ATC WAS NOT NOTIFIED OF LOST LINK. COA LISTS LOST LINK PROCEDURES AS FOLLOWS: LOST LINK PROCEDURES: ATC DOES NOT NEED TO BE NOTIFIED PROVIDED THE PIC COMPLIES WITH THE FOLLOWING PROVISIONS: A. IN THE EVENT THAT THE DATA LINK IS LOST FOR AT LEAST THREE (3) SECONDS: THE AIRCRAFT WILL EXECUTE THE FLIGHT CONTROLLER FAIL SAFE MODE AND CLIMB TO AN ALTITUDE NOT EXCEEDING THE UPPER LIMITS OF THE APPROVED COA TO ATTEMPT TO RE-ESTABLISH LINK. B. IF LINK CANNOT BE ESTABLISHED FOR A PERIOD OF 30 SECONDS: (1) THE PIC MUST NOTIFY ANY GROUND ASSETS THAT COULD BE AFFECTED. (2) THE VO MUST BE INSTRUCTED TO NOTE BEARING AND APPROXIMATE DISTANCE TO COMMENCE RECOVERY OPERATIONS. (3) THE AIRCRAFT WILL FLY BACK TO THE HOME POINT AND LAND. C. THE UA WILL REMAIN WITHIN THE DEFINED INCIDENT PERIMETER. D. THE UA WILL NOT INTERFERE WITH THE TRAFFIC PATTERN NOR ARRIVAL/DEPARTURE PROCEDURE OF AIRPORTS WITHIN THE DEFINED INCIDENT PERIMETER. E. THE PIC WILL NOTIFY THE APPROPRIATE ATC FACILITY WITHIN 15 MINUTES OF THE END OF THE FLIGHT. PIC AND VO MOVED OPERATION TO ANOTHER AREA CLOSER TO THE AREA OF INTEREST. THE UAV LAUNCED FROM A CUL-D-SAC AND FLEW NEAR THE AREA OF INTEREST FOR THE DRUG INVESTIGATION. VO STATED HE LOST SIGHT OF THE UAV. DISPLAY WENT BLACK AND IT MONETARY CAME ON AND SHOWED THE DRONE FALLING TO THE GROUND AFTER IMPACT WITH THE TOWER. NO WARNING MESSAGE APPEARED STATING UAV WAS NEXT TO THE STRUCTURE. SD CARD DISLODGED FROM THE UNIT. PIC AND VO STATED COA WAS NOT AT THE LOCATION WHERE UAV OPERATION WAS BEING CONDUCTED. ATC NOT NOTIFIED. ACCIDENT REPORTED VIA COA ONLINE APPLICATION SYSTEM-CAPS. COA LISTS LOSS OF SIGHT PROCEDURES AS FOLLOWS: IF A VO LOSES SIGHT OF THE UA, UNLESS OPERATING IN ACCORDANCE WITH SPECIAL PROVISION C (TACTICAL BEYOND LINE OF SIGHT-TBVLOS), THE PIC MUST BE NOTIFIED IMMEDIATELY. IF THE UA IS VISUALLY REACQUIRED PROMPTLY, THE MISSION MAY CONTINUE. IF NOT, THE PIC MUST IMMEDIATELY TERMINATE THE OPERATION AND NOTIFY THE APPROPRIATE ATC FACILITY WITHIN 15 MINUTES OF THE END OF THE FLIGHT. PUBLIC AGENCY SELF-CERTIFIES ITS REMOTE PILOTS WITH FOUR HOURS OF CLASSROOM INSTRUCTION AND FOUR HOURS OF PRACTICAL INSTRUCTION. ONLY A PASS/FAIL PRACTICAL ASSESSMENT IS CONDUCTED FOR STUDENTS. NIGHT OPERATIONS REQURE CURRENCY OF THREE TAKEOFFS AND LANDINGS IN THE PREVIOUS 90 DAYS. NEITHER THE PIC OR VO WENT 90 DAYS WITHOUT CURRENCY. PUBLIC AGENCY SUAS COA DOES NOT MENTION HOW THE AGENCY MUST SELF-CERTIFY THEIR PILOTS AND CURRENCY IS MAINTAINED. UAV WRECKAGE WAS NOT EXAMINED IN PERSON BY THE FAA. DATA WAS NOT OBSERVED OR RETRIVED ON CRYSTAL SKY DISPLAY IN THE PRESENCE OF THE FAA DUE TO UAV WRECKAGE BEING SENT BACK TO MANUFACTURER FOR WARANTY CLAIM BEFORE FSDO WAS NOTIFIED OF THE INCIDENT.""";
"ACCIDENT AND INCIDENT DATABASE,20210127003039I,27-JAN-21,BLAINE,WA,INCIDENT,NOT A MIDAIR,SUBSTANTIAL,NONE ,1,0,0,PILOT NOT CERTIFICATED,""SUAS INCIDENT: ACCIDENT REPORT REFERENCE NUMBER: UASA-2021-00003 UA REGISTRATION NUMBER: FA3HKHEPEE UA MAKE & MODEL: DJI MATRICE 300 (M300) COST OF DAMAGE (OTHER THAN SUAS): $2,055.08 PIC WAS PROVIDING DEMONSTRATION FLIGHT TO ^PRIVACY DATA OMITTED^ CREW MEMBER AFTER PERFORMING A SURVEILLANCE FLIGHT. PIC LOST CONTROL OF THE AIRCRAFT DURING A RETURN TO HOME SEQUENCE. THE SUAS STRUCK A PARKED VEHICLE. OPERATOR REVIEWED THE SUAS FLIGHT LOG AND REVEALED ONE OF THE PROPELLERS SUPPORT ARMS WAS NOT FULLY ENGAGED CAUSING THE INCIDENT.""";
"ACCIDENT AND INCIDENT DATABASE,20210711004119I,11-JUL-21,MOUNT DORA,FL,INCIDENT,NOT A MIDAIR,DESTROYED,NONE ,1,0,0,""A LAW ENFORCEMENT DRONE CONDUCTING A LAWFUL MISSION ON 7/11/2021 WAS SHOT DOWN AT APPROX. 0626 HOURS. REMOTE PILOT ^PRIVACY DATA OMITTED^ (^PRIVACY DATA OMITTED^) WAS PILOTING A LAKE COUNTY SHERIFFS OFFICE (FL) ISSUED DRONE (DJI MATRICE M300 RTK) (^PRIVACY DATA OMITTED^) IN AN OVERWATCH MISSION TO PRELIMINARILY CLEAR A LARGE (10 ACRE) WAREHOUSE COMPLEX THAT HAD BEEN BURGLARIZED. JUST BEFORE THE FLIGHT ENDED, TWO SHOTS WERE FIRED AT THE DRONE. IT APPEARS THAT ONE OF THOSE SHOTS STRUCK THE DRONE IN ITS LIPO BATIERY CAUSING AN IMMEDIATE FIRE ONBOARD THE DRONE. ^PRIVACY DATA OMITTED^ ATTEMPTED TO MANUEVER THE DRONE INTO AN OPEN LANDING AREA WITHOUT SUCCESS AS THE RETURN TO HOME FEATURE AND AUTO LANDING SEQUENCES HAD INITIATED DUE TO RAPID LOSS OF BATTERY POWER. THE DRONE CRASHED ON THE ROOF OF A NEARBY METAL BUILDING AND SLID DOWN DUE TO THE PITCHED ROOF WHERE IT GOT CAUGHT ON A RAIN GUTTER AND INVERTED ITSELF OFF OF THE ROOF, INADVERTENTLY SUSPENDING ITSELF AWAY FROM THE BUILDING WHILE IT BURNED OUT. THE DRONE WAS A TOTAL LOSS (30K) HOWEVER, NO OTHER DAMAGE OCCURRED TO ANY NEARBY PROPERTY, STRUCTURES OR PEOPLE.""";
"ACCIDENT AND INCIDENT DATABASE,20190307024399I,07-MAR-19,FORT COLLINS,CO,INCIDENT,NOT A MIDAIR,MINOR,NONE ,2,0,0,150,15,""SERGEANT ^PRIVACY DATA OMITTED^ REPORTS THAT HE WAS OPERATING A DJI INSPIRE 1 AIRCRAFT IN SUPPORT OF POLICE SURVEILLANCE OPERATIONS ON MARCH 7TH. HIS AIRCRAFT BATTERY LEVEL NEARLY EXHAUSTED, HE BROUGHT THE AIRCRAFT IN FOR LANDING WHEN A LOSS OF CONTROLL OCCURRED JUST FEET FROM LANDING, RESULTING IN SOME DAMAGE TO A POLICE CRUISER DOOR. INITIAL DOOR REPAIR ESTIMATES WERE FOR THE REPLACEMENT OF SCRATCHED AND DENTED DOOR COMPONENTS, TOTALING OVER $1200. HOWEVER, ACTUAL COST OF REPAIRS IS BELOW $500. THIS INCIDENT DOES NOT MEET THRESHOLD FOR UAS ACCIDENT. SERGEANT ^PRIVACY DATA OMITTED^ REPORTED IN AN ABUNDANCE OF CAUTION. NO FURTHER INFORMATION ADDS TO THE STORY. AST ^PRIVACY DATA OMITTED^ DISCUSSED THE INCIDENT WITH SERGEANT ^PRIVACY DATA OMITTED^, AND SOME INTER-DEPARTMENT TRAINING/DISCUSSION RELATED TO LOW BATTERY LANDING PROCEDURES WAS DETERMINED TO BE THE BEST OPPORTUNITY TO PREVENT RECURRENCE. REFERENCE PTRS # 201904667""";
